CONTROL 6f9ebe0c85dfb36161978cb9e0cd3b0ea61f23e8
boost-config cda6836ee7b8e7d55389ea6854c19abe4502c3dc
boost-detail 9cf07d58480143b0be3cd9f0b84c6b9d5ed6fe31
boost-static-assert acfb95cbcaf4e66671115400fe018d34d805de37
boost-vcpkg-helpers 19da0a83a5018453c2494576755bb5f68470ccac
cmake 3.17.2
features core
portfile.cmake 029f57b45cc7a0b8427488d95acfc3f78dfdfe4c
post_build_checks 2
powershell ab1effc926b000a6adc12198a1886514ec203621a53b0cd7ec1cd9a8225dccda7e857feaabcfba4004bea73129b986abaad777c4573f44e0af70411226ce08b0
triplet e8dc96fd479b53bb0e6748625827c8268017e35a-83a62cd5c237de1a32ff2f55ead5e6b66c461200-3755a961cfec1a699f8762598b119ab2e59cf31b
vcpkg_from_git 13f63ff436e043b1297055ca7d59776d9e925cd1
vcpkg_from_github 4624dffdf2b8d85ffdfde0850369fa96abdf0bb8
